55,47
46,50
50,51
45,60
48,57
60,45
60,46
46,55
61,46
46,41
38,46
61,41
58,51
50,46
65,40
65,39
45,48
55,47
46,42
45,50
55,46
50,36
47,46
46,56
50,56
51,51
56,55
56,42
51,39
52,56
56,46
42,51
42,41
61,65
57,48
51,40
43,45
50,61
47,56
53,51
60,51
51,46
46,47
51,46
55,45
60,47
52,47
44,46
60,47
50,43
56,51
50,40
65,55
65,56
65,51
50,50
47,55
52,52
45,48
60,60
46,42
50,45
65,51
56,51
50,53
60,43
55,51
60,47
51,47
46,51
46,60
46,46
42,51
45,51
50,56
55,44
50,65
60,41
42,60
47,46
46,45
51,47
52,45
37,50
53,55
50,46
46,60
55,36
50,61
51,48
50,61
41,60
57,52
47,47
55,65
51,50
56,56
51,52
48,47
48,44
52,50
50,45
52,46
55,42
51,42
51,55
53,56
47,49
41,52
52,55
51,40
50,41
51,45
47,47
60,51
61,43
56,60
47,60
61,42
52,45
62,36
55,56
50,51
47,56
56,57
50,55
45,48
43,45
41,51
55,51
50,41
57,50
47,49
51,46
60,36
55,43
52,56
45,50
45,47
45,46
41,46
60,38
70,46
55,48
46,51
46,52
60,45
50,51
55,47
51,56
61,46
47,41
57,50
55,50
41,56
55,57
46,40
52,48
50,60
56,51
52,60
55,48
65,37
50,52
50,40
57,51
61,70
44,51
45,50
56,47
47,56
51,57
41,42
50,48
56,55
55,60
44,55
50,60
62,46
50,50
56,37
47,48
50,52
46,56
55,55
56,42
46,51
55,43
55,42
60,56
52,42
60,46
47,60
46,51
56,60
50,47
55,50
61,50
45,38
55,41
50,51
60,51
51,50
50,51
56,42
47,60
56,54
45,60
55,51
51,45
55,49
50,50
56,55
46,51
52,54
41,56
46,60
46,48
44,53
60,60
51,61
52,50
51,50
49,42
55,42
57,45
55,60
56,50
45,48
65,60
43,51
55,55
43,51
52,51
56,56
45,55
60,41
46,50
51,42
44,50
65,47
48,46
43,46
55,61
45,51
56,42
46,37
41,46
55,45
56,53
46,55
56,61
51,51
51,43
46,50
